State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Telangana,Nalgonda,"Neredcherla APMC",Paddy(Common),"B P T",Local,21/04/2026,2400,2400,2400
Telangana,Adilabad,"Adilabad APMC",Cotton,"Cotton (Unginned)",FAQ,21/04/2026,6391,7700,6776
Telangana,Karimnagar,"Karimnagar APMC","French Beans(Frasbean)","French Beans (Frasbean)",Local,21/04/2026,4000,4000,4000
Telangana,Karimnagar,"Choppadandi APMC",Paddy(Common),"I.R. 64",Non-FAQ,21/04/2026,1711,2039,2001
Haryana,Fatehabad,"Fatehabad APMC","Water Melon","Water Melon",Local,21/04/2026,1400,1500,1400
Haryana,Fatehabad,"Fatehabad APMC",Banana,Other,Local,21/04/2026,1500,1600,1500
Haryana,Fatehabad,"Fatehabad APMC",Potato,Potato,Local,21/04/2026,500,600,600
Haryana,Fatehabad,"Fatehabad APMC",Apple,Apple,Local,21/04/2026,14000,15000,14000
Haryana,Fatehabad,"Fatehabad APMC",Chikoos(Sapota),Other,Local,21/04/2026,2000,2000,2000
Telangana,Nalgonda,"Devarakonda APMC",Paddy(Common),MTU-1010,FAQ,21/04/2026,4200,4200,4200
Kerala,Kannur,"Kannur APMC",Onion,Onion,"Grade A",21/04/2026,1900,2100,2000
Kerala,Kannur,"Kannur APMC","Coconut Oil",Other,"Grade Range-1",21/04/2026,29200,30200,29700
Kerala,Kannur,"Payyannur APMC",Copra,Other,Local,21/04/2026,14600,14800,14700
Kerala,Kannur,"Payyannur APMC","Banana - Green",Other,Local,21/04/2026,3500,3700,3600
Kerala,Kannur,"Payyannur APMC",Amaranthus,Other,Local,21/04/2026,3800,4000,3900
Kerala,Kannur,"Payyannur APMC",Arecanut(Betelnut/Supari),Other,Local,21/04/2026,41000,43000,42000
Kerala,Kollam,"Kollam APMC",Banana,"Banana - Ripe",Medium,21/04/2026,3200,3500,3300
Kerala,Kollam,"Kollam APMC","Banana - Green","Banana - Green",Medium,21/04/2026,3200,3500,3300
Kerala,Kollam,"Kollam APMC",Banana,Rasakathai,Medium,21/04/2026,6800,7500,7200
Kerala,Kollam,"Kollam APMC",Colacasia,Other,Local,21/04/2026,5500,6000,5800
Kerala,Kollam,"Kollam APMC","Little gourd(Kundru)",Other,Local,21/04/2026,3500,4000,3800
Kerala,Malappuram,"Manjeri APMC",Coriander(Leaves),Coriander,Local,21/04/2026,4900,5000,4950
Kerala,Malappuram,"Manjeri APMC","Green Chilli",Other,Local,21/04/2026,4500,4550,4500
Kerala,Malappuram,"Manjeri APMC","Mousambi(Sweet Lime)",Other,Local,21/04/2026,3800,3900,3850
Kerala,Malappuram,"Manjeri APMC","Pepper ungarbled",Other,Local,21/04/2026,65900,66000,65950
Kerala,Palakad,"Palakkad APMC",Banana,"Nendra Bale",Small,21/04/2026,3300,4500,4000
Kerala,Palakad,"Palakkad APMC",Banana,Poovan,Medium,21/04/2026,4500,6000,5300
Kerala,Palakad,"Palakkad APMC",Onion,Big,FAQ,21/04/2026,2200,3000,2700
Kerala,Palakad,"Palakkad APMC",Capsicum,Capsicum,FAQ,21/04/2026,5200,6000,5700
Kerala,Palakad,"Palakkad APMC","Banana - Green","Banana - Green",FAQ,21/04/2026,3000,4000,3600
Kerala,Palakad,"Palakkad APMC","Green Avare(W)","Green Avare (W)",FAQ,21/04/2026,5500,6500,6100
Kerala,Palakad,"Palakkad APMC",Cowpea(Lobia/Karamani),"Cowpea (Whole)",FAQ,21/04/2026,8500,10000,9300
Kerala,Palakad,"Palakkad APMC","Little gourd(Kundru)",Other,FAQ,21/04/2026,2800,3500,3200
Kerala,Palakad,"Palakkad APMC","Green Chilli","Green Chilly",FAQ,21/04/2026,3300,4000,3700
Kerala,Palakad,"Palakkad APMC",Cabbage,Cabbage,FAQ,21/04/2026,1500,2000,1800
Kerala,Palakad,"Palakkad APMC",Colacasia,Other,FAQ,21/04/2026,5500,6500,6100
Kerala,Palakad,"Palakkad APMC",Snakeguard,Snakeguard,FAQ,21/04/2026,3000,4000,3600
Kerala,Wayanad,"Sultan bathery APMC",Coconut,Other,Local,21/04/2026,6595,6600,6600
